,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
480,1227,"ESTACION CUCAPAH, S.A. DE C.V.",PL/706/EXP/ES/2015,-116.8729,32.51395,2519,17.99,regular,0,0,Chevron,"Blvd. Cucapah, Valle Verde, Tijuana","gas_station, point_of_interest, establishment"
481,1229,"PETROMAX, S.A. DE C.V.",PL/606/EXP/ES/2015,-100.397,25.765179999999997,2520,18.49,regular,3.4,5,Pemex,"Av. Luis Donaldo Colosio Murrieta No. 1400, Mirasol 1o., Monterrey","gas_station, point_of_interest, establishment"
482,1231,"PETROMAX, S.A. DE C.V.",PL/560/EXP/ES/2015,-100.4021,25.67,2521,20.79,premium,4.1,178,PetroSeven,"Av. Corregidora Norte 710, San Pedro, San Pedro Garza García","gas_station, point_of_interest, establishment"
483,1233,"SERVICIO CIBOLA, S.A. DE C.V.",PL/715/EXP/ES/2015,-116.853,32.51282,2522,17.99,diesel,4,4,CHEVRON,"Avenida Melchor Ocampo No.23202 MATAMOROS, Tijuana","gas_station, point_of_interest, establishment"
484,1236,Servicio Puente Contadero S.A. De C.V.,PL/784/EXP/ES/2015,-99.3023,19.350279999999998,2523,18.59,diesel,3.7,458,bp,"Avenida Veracruz, Cuajimalpa, Ciudad de México","gas_station, point_of_interest, establishment"
485,1239,"ESTACION RIO TIJUANA, S. DE R.L. DE C.V.",PL/666/EXP/ES/2015,-116.84700000000001,32.4689,2524,17.99,regular,4.3,35,CHEVRON,"30 # 23460, Cañadas del Florido, Tijuana","gas_station, point_of_interest, establishment"
486,1242,SERVICIOS VILLALOBOS SA,PL/744/EXP/ES/2015,-102.2898,21.8348,2525,19.5,regular,3.9,9,Pemex,"Km 526, México 45, Aguascalientes","gas_station, point_of_interest, establishment"
487,1245,COMBUSTIBLES DE ACAMBARO SA,PL/885/EXP/ES/2015,-100.7283,20.019379999999998,2526,17.8,regular,4,7,Pemex,"Carretera, Acambaro - Morelia Km-1.820, Acámbaro","gas_station, point_of_interest, establishment"
488,1248,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/838/EXP/ES/2015,-105.3472,20.76211,2527,19.49,regular,4.3,16,Gasmart Gasolinera,Bucerías,"gas_station, point_of_interest, establishment"
489,1251,"DIAZ GAS, S.A. DE C.V.",PL/790/EXP/ES/2015,-106.3489,31.627909999999996,2528,12.82,regular,4.4,291,TotalGas,"Calle Puerto de Palos 1050, Patria, Cd Juárez","gas_station, point_of_interest, establishment"
490,1253,"GRUPO OCTANO, S.A. DE C.V.",PL/500/EXP/ES/2015,-101.15,19.69432,2529,18.68,regular,3.9,46,GRUPO OCTANO Estación San Carlos,"Avenida Acueducto, Ocolusen 3670, Morelia","gas_station, point_of_interest, establishment"
491,1255,"PETROMAX, S.A. DE C.V.",PL/572/EXP/ES/2015,-106.1183,28.62766,2530,18.39,regular,2.4,13,Gasolinera Pemex,"Luis D. Colosio, Perif. de la Juventud 3709, Vistas del Sol, Chihuahua","gas_station, point_of_interest, establishment"
492,1258,"PETROMAX, S.A. DE C.V.",PL/472/EXP/ES/2015,-99.07513,19.3335,2531,19.39,premium,0,0,Mobil,"Av. San Lorenzo Tezonco, San Juan Xalpa, Ciudad de México","gas_station, point_of_interest, establishment"
493,1260,SERVICIO SAN FRANCISCO DE LOS ROMO DE AGS SA DE CV,PL/738/EXP/ES/2015,-102.2729,22.07574,2532,18.4,regular,3.6,16,Gasolineria San Francisco,"Benito Juárez Sur 313, Panamericano, San Francisco de los Romo","gas_station, point_of_interest, establishment"
494,1263,TORO GRUPO GASOLINERO SA DE CV,PL/720/EXP/ES/2015,-102.296,22.17901,2533,18.99,diesel,4,124,PEMEX,"Rincón de Romos-Pabellón de Arteaga 343, Pabellón de Hidalgo","gas_station, point_of_interest, establishment"
495,1266,"PETROMAX, S.A. DE C.V.",PL/567/EXP/ES/2015,-100.2535,25.72883,2534,19.29,regular,4,46,PEMEX,"Av. Lic. Adolfo López Mateos sn, Sin Nombre de Col 31, Monterrey","gas_station, point_of_interest, establishment"
496,1268,"GRUPO OCTANO, S.A. DE C.V.",PL/368/EXP/ES/2015,-104.8682,21.47683,2535,18.99,regular,2.9,7,Gasolinera Pemex,"Av. Tecnológico No.2525, Valle de Matatipac, Tepic","gas_station, point_of_interest, establishment"
497,1271,"SERVICIO DRAKO, S. DE R.L. DE C.V.",PL/876/EXP/ES/2015,-116.9091,32.49984,2536,18.59,premium,5,1,Gasolinera Pemex,"Cto, Loma Dorada No. 19161, Loma Dorada, Tijuana","gas_station, point_of_interest, establishment"
498,1274,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/401/EXP/ES/2015,-109.3231,25.86532,2537,20.75,diesel,0,0,Pemex,"Carrt. San Jose Ahome-Las Grullas Km 11, Ahome","gas_station, point_of_interest, establishment"
499,1276,"PETROMAX, S.A. DE C.V.",PL/473/EXP/ES/2015,-100.4262,25.67491,2538,19.49,regular,3.9,46,Petro 7 La Fama,"Blvd Gustavo Díaz Ordaz 120, Protexa Industrial, Santa Catarina","gas_station, point_of_interest, establishment"
