name,cre_id,location/x,location/y,_place_id
"PETROMAX, S.A. DE C.V.",PL/476/EXP/ES/2015,-100.9133,25.43487,2138
"PETROMAX, S.A. DE C.V.",PL/483/EXP/ES/2015,-98.31638,26.06835,2139
"Inmobiliaria Socor, S.A. de C.V.",PL/630/EXP/ES/2015,-99.13939,19.71715,2140
GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/394/EXP/ES/2015,-115.5029,32.59509,2141
"Gasolinería Itálica, S.A. de C.V.",PL/632/EXP/ES/2015,-99.2491,19.53231,2142
"Super Servicio Cumbre, S.A. de C.V.",PL/853/EXP/ES/2015,-99.21558,18.90457,2143
ESTACIONES DE SERVICIO CAMINOS DE GUANAJUATO SA CV,PL/893/EXP/ES/2015,-100.9016,21.16531,2144
"PETROMAX, S.A. DE C.V.",PL/519/EXP/ES/2015,-100.995,25.47064,2145
"PETROMAX, S.A. DE C.V.",PL/523/EXP/ES/2015,-100.3883,25.77217,2146
"PETROMAX, S.A. DE C.V.",PL/563/EXP/ES/2015,-100.2403,25.71573,2147
"PETROMAX, S.A. DE C.V.",PL/464/EXP/ES/2015,-100.0302,25.28464,2148
"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/834/EXP/ES/2015,-110.9418,31.28525,2149
"PETROMAX, S.A. DE C.V.",PL/467/EXP/ES/2015,-98.39253,26.04565,2150
"PETROMAX, S.A. DE C.V.",PL/485/EXP/ES/2015,-100.9813,25.48239,2151
"PETROMAX, S.A. DE C.V.",PL/494/EXP/ES/2015,-100.2887,25.71853,2152
"Inmobiliaria RAVS, S.A. de C.V.",PL/695/EXP/ES/2015,-99.08196,19.37504,2153
GASOLINA Y LUBRICANTES MALPASO SA DE CV,PL/725/EXP/ES/2015,-93.56612,17.18763,2154
"SERVICIO EFIGAS, S. DE R.L. DE C.V.",PL/678/EXP/ES/2015,-117.0082,32.52866,2155
SERVICIOS ENERGETICOS DEL PACIFICO SA DE CV,PL/727/EXP/ES/2015,-104.3236,19.11446,2156
"Gasolinería México - Ajusco 1, S.A. de C.V.",PL/821/EXP/ES/2015,-99.19692,19.2289,2157
"GRUPO OCTANO, S.A. DE C.V.",PL/421/EXP/ES/2015,-105.2224,20.65418,2158
