,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
9760,25827,"SERVICIOS INTEGRALES DE COMBUSTIBLES, S.A. DE C.V.",PL/10820/EXP/ES/2015,-100.4803,20.702460000000002,13029,18.49,regular,5,1,Pemex,Lib. Norponiente,"gas_station, point_of_interest, establishment"
9761,25830,"SUPER SERVICIO RIOLUNA, S.A. DE C.V.",PL/10821/EXP/ES/2015,-99.03734,19.59498,13030,18.65,regular,3.7,209,"SUPER SERVICIO SAN RAFAEL, SA DE CV","VIA MORELOS NO. 58, SAN JUAN ACALHUACAN, ECATEPEC DE MORELOS, EDO. MEXICO","gas_station, point_of_interest, establishment"
9762,25832,PABELLON DE ZAPOTLAN S.P.R DE R.L,PL/10822/EXP/ES/2015,-98.89012,19.93274,13031,17.56,regular,4.5,4,Pemex,"Autopista Mexico Pachuca Km 64+835, Tolcayuca","gas_station, point_of_interest, establishment"
9763,25835,"SUPER SERVICIO SAN RAFAEL, S.A. DE C.V.",PL/10823/EXP/ES/2015,-99.03635,19.5994,13032,18.65,regular,3.7,209,"SUPER SERVICIO SAN RAFAEL, SA DE CV","VIA MORELOS NO. 58, SAN JUAN ACALHUACAN, ECATEPEC DE MORELOS, EDO. MEXICO","gas_station, point_of_interest, establishment"
9764,25838,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PL/10824/EXP/ES/2015,-104.9088,27.12373,13033,18.99,regular,0,0,Gasolinera Pemex,"Allende Y Dr. Quiroz Cuaron No. 1400, Campesina, José Mariano Jiménez","gas_station, point_of_interest, establishment"
9765,25841,Servicio el Berrendo S.A. de C.V.,PL/10825/EXP/ES/2015,-114.0115,28.0045,13035,18.19,regular,4.3,47,Pemex,"Carretera Transpeninsular Km. 593, Ensenada","gas_station, point_of_interest, establishment"
9766,25843,SERVICIO EL PRADO SA DE CV,PL/10826/EXP/ES/2015,-103.3181,19.68055,13036,20.18,regular,4.3,3,Pemex,"Carrt. Jiquilpan-Manzanillo Km 103+285, Tamazula de Gordiano","gas_station, point_of_interest, establishment"
9767,25846,PARADOR SERVICIOS INTEGRALES CORREGIDORA SA DE CV,PL/10876/EXP/ES/2015,-100.4967,20.53425,13037,17.89,regular,3.9,77,Road stations Angeles,"Celaya - Querétaro, Los Ángeles","gas_station, point_of_interest, establishment"
9768,25849,"SERVICIO COLIMA, S.A.",PL/10877/EXP/ES/2015,-99.07964,19.47231,13039,18.74,regular,3.4,154,Pemex Service Colima S.A.,"Av. José Loreto Fabela 743, Casas Alemán, Ciudad de México","gas_station, point_of_interest, establishment"
9769,25851,ANDRES LUGO AGUILAR,PL/10878/EXP/ES/2015,-98.5393,20.2107,13040,17.5,regular,3.5,2,Pemex,"Carretera Tulancingo Huasca Km.24.925, Huasca de Ocampo","gas_station, point_of_interest, establishment"
9770,25854,GASOLINERA MOPETI S.A DE C.V.,PL/10880/EXP/ES/2015,-96.14072,18.7475,13042,18.1,regular,2.7,13,gasolinera,Veracruz,"gas_station, point_of_interest, establishment"
9771,25857,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/10881/EXP/ES/2015,-115.4128,32.66104,13044,16.69,regular,3.9,9,Seper Servicio Periferco,"Av Corregidora Nte 1701, Las Hadas, Mexicali","gas_station, point_of_interest, establishment"
